Onliner ID;Раздел;Производитель;Товар;Артикул;id-предложения;Цена;Валюта;Описание предложения;Изготовитель;Импортер;Сервисный центр;Гарантия;Срок доставки по Минску;Срок доставки по РБ;Только для юр. лиц;Наличие на складе;В наличии на складе;Срок рассрочки по Халве;Onliner Prime;Цена по промокоду;Повышенная рассрочка Minipay;Кредит на «Родныя тавары»
11980;Шуруповерты, гайковерты, электроотвертки;Makita;6317DWDE (с 2-мя АКБ, кейс);6317DWDE;11980001;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Пильные полотна;BOSCH;Пилка лобз. по дереву/ламинату T101AOF (5 шт.) BOSCH;2608634233;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Пильные полотна;BOSCH;Пилка лобз. по металлу T118G (5 шт.) BOSCH;2608631012;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Наборы инструментов;BOSCH;Пилка лобз. по металлу T118A (1 шт.) BOSCH;2608631964;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Наборы инструментов;BOSCH;Пилка лобз. по металлу T218A (1 шт.) BOSCH;2608631706;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Пильные полотна;BOSCH;Пилка лобз. по алюминию T127D (1 шт.) BOSCH;2608631966;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Пильные полотна;BOSCH;Пилка лобз. по дереву T101AO (5 шт.) BOSCH;2608630031;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Наборы инструментов;BOSCH;Набор оснастки BOSCH Premium Set 91 предмет;2608P00235;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Биты, головки, насадки, держатели;BOSCH;Набор оснастки BOSCH Premium Set 105 предметов;2608P00236;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Биты, головки, насадки, держатели;BOSCH;Набор оснастки BOSCH Premium Set 49 предметов;2608P00233;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Биты, головки, насадки, держатели;BOSCH;Универс. магн. держатель для бит BOSCH 55 мм;2608522317;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Сверла, буры, зенкеры;BOSCH;Набор сверл  MultiConstruction 7 шт;2607010546;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Корнеудалитель 100см Xact FISKARS;1020126;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Лопата снеговая автомобильная алюминиевая FISKARS;1000740;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Топор туристический X5 XXS FISKARS;1015617;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Топор универсальный X7 XS FISKARS;1015618;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Топор универсальный X10 S FISKARS;1015619;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Топор-колун X11 S FISKARS;1015640;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Топор-колун X17 M FISKARS;1015641;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Топор-колун X21 L FISKARS;1015642;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Топор-колун X25 XL FISKARS;1015643;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Топор-колун X27 XXL FISKARS;1015644;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Грабли для листьев L без черенка Solid FISKARS;1014915;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Грабли Solid FISKARS;1016036;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Шпатель нержавеющий фасадный 600мм STARTUL PROFI (ST1013-600);ST1013-600;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Кельма шпаклевочная 140мм STARTUL MASTER (ST1033-14);ST1033-14;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Гладилка швейц.нерж.с дер.ручкой 130х480мм STARTUL MASTER (ST1055-48);ST1055-48;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Гладилка швейц.нерж.с дер.ручкой 130х580мм STARTUL MASTER (ST1055-58);ST1055-58;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
